SERIE,FECHA,HI,DGA,ACE,ARR,AIS,NUC,OLTC,BUS
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
